prompt,completion
"Where is the Coco located?","Cyan's Dream/Dreamscape (Everywhere but Cave) [WoR] Ancient Castle (outside) [WoR]"
"What type of monster is the Coco?","Humanoid"
"What is the special attack of the Coco?","Slap (inflicts 'Silence')"
"What status effects does the Coco resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Coco have?","3062"
"What rage can be learned from the Coco?","Overture"
"What sketch can be drawn from the Coco?","Overture (3/4), Slap (1/4)"
"What abilities can be used while controlling the Coco?","Attack, Slap, Confuse, Dispel"
"What is the weakness of the Io?","Petrify, Death, Doom, Slow"
"Where is the Io located?","Cyan's Dream/Dreamscape (Cave) [WoR]"
"What can be stolen from the Io?","Potion (7/8)"
"What is the special attack of the Io?","Crush (300% damage)"
"What status effects does the Io resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Critical"
"How much HP does the Io have?","7862"
"What rage can be learned from the Io?","Flare Star"
"What sketch can be drawn from the Io?","Plasma (3/4), Crush (1/4)"
"What abilities can be used while controlling the Io?","Attack, Crush, Plasma, Blaster"
"What elements does the Io resist?","Poison, Wind, Earth"
"What is the Armored Weapon known as on the SNES?","Lethal Wpn"
"What is the weakness of the Armored Weapon?","Death, Doom, Slow, Stop"
"Where is the Armored Weapon located?","Ancient Castle (inside) [WoR]"
"What can be stolen from the Armored Weapon?","Debilitator (1/8)"
"What is the special attack of the Armored Weapon?","Metal Arm (200% damage)"
"What status effects does the Armored Weapon resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Armored Weapon have?","9200"
"What rage can be learned from the Armored Weapon?","Gravity Bomb"
"What sketch can be drawn from the Armored Weapon?","Mega Berserk (3/4), Metal Arm (1/4)"
"What abilities can be used while controlling the Armored Weapon?","Attack, Metal Arm, Magitek Laser, Absolute Zero"
"What is the Lunatys known as on the SNES?","Boxed Set"
"What is the weakness of the Lunatys?","Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Lunatys located?","Ancient Castle (inside) [WoR]"
"What can be stolen from the Lunatys?","Antidote (1/8)"
"What is the special attack of the Lunatys?","Electrode (300% damage)"
"What status effects does the Lunatys resist?","Poison, Imp, Critical"
"How much HP does the Lunatys have?","4020"
"What rage can be learned from the Lunatys?","Meteor"
"What sketch can be drawn from the Lunatys?","Meteor (3/4), Electrode (1/4)"
"What abilities can be used while controlling the Lunatys?","Attack, Electrode, Meteor, Hailstone"
"What is the Figaro Lizard known as on the SNES?","Figaliz"
"What is the weakness of the Figaro Lizard?","Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Figaro Lizard located?","Cave to the Ancient Castle [WoR] Ancient Castle (outside & inside) [WoR]"
"What can be stolen from the Figaro Lizard?","Hi-Potion (1/8)"
"What is the special attack of the Figaro Lizard?","Venom (inflicts 'Poison')"
"What status effects does the Figaro Lizard resist?","Poison, Sleep"
"How much HP does the Figaro Lizard have?","4220"
"What rage can be learned from the Figaro Lizard?","Dischord"
"What sketch can be drawn from the Figaro Lizard?","Dischord (3/4), Venom (1/4)"
"What abilities can be used while controlling the Figaro Lizard?","Attack, Venom, Dischord, Leech"
"What is the Devil known as on the SNES?","Goblin"
"What is the weakness of the Devil?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Devil located?","Cave to the Ancient Castle [WoR] Ancient Castle (outside) [WoR]"
"What can be stolen from the Devil?","Mythril Glove (1/8)"
"What is the special attack of the Devil?","Swipe (400% damage)"
"What status effects does the Devil resist?","Imp, Doom, Silence, Berserk, Sleep"
"How much HP does the Devil have?","5555"
"What rage can be learned from the Devil?","Thundaga"
"What sketch can be drawn from the Devil?","Thundaga (3/4), Firaga (1/4)"
"What abilities can be used while controlling the Devil?","Attack, Firaga, Thundaga, Blizzaga"
"What is the weakness of the Enuo?","Zombie, MagiTek, Invisible, Petrify, Death, Doom, Image, Silence, Sap"
"Where is the Enuo located?","Cave to the Ancient Castle [WoR]"
"What can be stolen from the Enuo?","X-Potion (1/8)"
"What is the special attack of the Enuo?","Slime (inflicts 'Slow')"
"What status effects does the Enuo resist?","Darkness, Poison, Imp, Critical, Berserk, Confusion, Sleep"
"How much HP does the Enuo have?","4635"
"What rage can be learned from the Enuo?","Tsunami"
"What sketch can be drawn from the Enuo?","Tsunami (3/4), Slime (1/4)"
"What abilities can be used while controlling the Enuo?","Attack, Slime, Tsunami, Aqua Breath"
"Where is the Magic Urn located?","Cultists' Tower (Everywhere) [WoR]"
"What can be stolen from the Magic Urn?","Potion (7/8), Elixir (1/8)"
"What is the special attack of the Magic Urn?","Whack (150% damage)"
"What status effects does the Magic Urn resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"What status effects does the Magic Urn absorb?","Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water"
"How much HP does the Magic Urn have?","100"
"What rage can be learned from the Magic Urn?","Curaga"
"What sketch can be drawn from the Magic Urn?","Curaga (3/4), Esuna (1/4)"
"What abilities can be used while controlling the Magic Urn?","Attack, Esuna, Curaga, Tornado"
"What is the Level 10 Magic known as on the SNES?","L.10 Magic"
"What is the weakness of the Level 10 Magic?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Image, Silence, Berserk, Confusion, Sap"
"Where is the Level 10 Magic located?","Cultists' Tower (1st/2nd/3rd Area) [WoR]"
"What does the Level 10 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 10 Magic?","Ether (1/8)"
"What type of monster is the Level 10 Magic?","Humanoid, Undead"
"What is the special attack of the Level 10 Magic?","Hit (150% damage)"
"What status effects does the Level 10 Magic resist?","Imp, Death, Doom, Critical, Sleep, Slow, Stop"
"What status effects does the Level 10 Magic absorb?","Poison"
"How much HP does the Level 10 Magic have?","1000"
"What sketch can be drawn from the Level 10 Magic?","Slow (3/4), Thunder (1/4)"
"What abilities can be used while controlling the Level 10 Magic?","Attack, Thunder, Slow, Haste"
"What is the Level 20 Magic known as on the SNES?","L.20 Magic"
"What is the weakness of the Level 20 Magic?","Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow"
"Where is the Level 20 Magic located?","Cultists' Tower (1st/2nd Area) [WoR]"
"What does the Level 20 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 20 Magic?","Ether (1/8)"
"What type of monster is the Level 20 Magic?","Humanoid"
"What is the special attack of the Level 20 Magic?","Hit (150% damage)"
"What status effects does the Level 20 Magic resist?","Imp, Petrify, Silence, Berserk, Sleep, Stop"
"What status effects does the Level 20 Magic absorb?","Poison"
"How much HP does the Level 20 Magic have?","2000"
"What sketch can be drawn from the Level 20 Magic?","Rasp (3/4), Graviga (1/4)"
"What abilities can be used while controlling the Level 20 Magic?","Attack, Graviga, Rasp, Protect"
"What is the Level 30 Magic known as on the SNES?","L.30 Magic"
"What is the weakness of the Level 30 Magic?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Berserk, Sap, Sleep, Slow"
"Where is the Level 30 Magic located?","Cultists' Tower (1st/2nd/3rd Area) [WoR]"
"What does the Level 30 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 30 Magic?","Ether (1/8)"
"What is the special attack of the Level 30 Magic?","Hit (150% damage)"
"What status effects does the Level 30 Magic resist?","Darkness, Imp, Silence, Confusion, Stop"
"What status effects does the Level 30 Magic absorb?","Holy"
"How much HP does the Level 30 Magic have?","3000"
"What sketch can be drawn from the Level 30 Magic?","Osmose (3/4), Thundara (1/4)"
"What abilities can be used while controlling the Level 30 Magic?","Attack, Thundara, Osmose, Reflect"
"What is the Level 40 Magic known as on the SNES?","L.40 Magic"
"What is the weakness of the Level 40 Magic?","Zombie, Poison, MagiTek, Invisible, Petrify, Critical, Image, Silence, Sap"
"Where is the Level 40 Magic located?","Cultists' Tower (1st/2nd/3rd Area; Top) [WoR]"
"What does the Level 40 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 40 Magic?","Ether (1/8)"
"What type of monster is the Level 40 Magic?","Humanoid"
"What is the special attack of the Level 40 Magic?","Hit (150% damage)"
"What status effects does the Level 40 Magic resist?","Darkness, Imp, Death, Doom, Berserk, Confusion, Sleep"
"What status effects does the Level 40 Magic absorb?","Poison"
"How much HP does the Level 40 Magic have?","4000"
"What sketch can be drawn from the Level 40 Magic?","Silence (3/4), Drain (1/4)"
"What abilities can be used while controlling the Level 40 Magic?","Attack, Drain, Silence, Vanish"
"What is the Level 50 Magic known as on the SNES?","L.50 Magic"
"What is the weakness of the Level 50 Magic?","MagiTek, Invisible, Death, Doom, Critical, Image, Silence, Confusion, Sap, Slow, Stop"
"Where is the Level 50 Magic located?","Cultists' Tower (2nd/3rd Area; Inside [Except Air Anchor Room]) [WoR]"
"What does the Level 50 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 50 Magic?","Hi-Ether (1/8)"
"What type of monster is the Level 50 Magic?","Undead"
"What is the special attack of the Level 50 Magic?","Hit (150% damage)"
"What status effects does the Level 50 Magic resist?","Darkness, Zombie, Poison, Imp, Petrify, Berserk, Sleep"
"What status effects does the Level 50 Magic absorb?","Poison"
"How much HP does the Level 50 Magic have?","5000"
"What sketch can be drawn from the Level 50 Magic?","Berserk (3/4), Bio (1/4)"
"What abilities can be used while controlling the Level 50 Magic?","Attack, Bio, Berserk, Hastega"
"What is the Level 60 Magic known as on the SNES?","L.60 Magic"
"What is the weakness of the Level 60 Magic?","Zombie, MagiTek, Invisible, Petrify, Critical, Image, Silence, Sap, Sleep, Slow"
"Where is the Level 60 Magic located?","Cultists' Tower (2nd/3rd/4th Area; Top) [WoR]"
"What does the Level 60 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 60 Magic?","Hi-Ether (1/8)"
"What type of monster is the Level 60 Magic?","Humanoid"
"What is the special attack of the Level 60 Magic?","Hit (150% damage)"
"What status effects does the Level 60 Magic resist?","Darkness, Poison, Imp, Death, Doom, Berserk, Confusion"
"What status effects does the Level 60 Magic absorb?","Ice"
"How much HP does the Level 60 Magic have?","6000"
"What sketch can be drawn from the Level 60 Magic?","Slowga (3/4), Quake (1/4)"
"What abilities can be used while controlling the Level 60 Magic?","Attack, Quake, Slowga, Regen"
"What is the Level 70 Magic known as on the SNES?","L.70 Magic"
"What is the weakness of the Level 70 Magic?","Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom, Image, Silence, Sap, Slow, Stop"
"Where is the Level 70 Magic located?","Cultists' Tower (3rd Area) [WoR]"
"What does the Level 70 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 70 Magic?","Hi-Ether (1/8)"
"What type of monster is the Level 70 Magic?","Humanoid"
"What is the special attack of the Level 70 Magic?","Hit (150% damage)"
"What status effects does the Level 70 Magic resist?","Poison, Imp, Critical, Berserk, Confusion, Sleep"
"What status effects does the Level 70 Magic absorb?","Fire"
"How much HP does the Level 70 Magic have?","7000"
"What sketch can be drawn from the Level 70 Magic?","Blizzaga (3/4), Firaga (1/4)"
"What abilities can be used while controlling the Level 70 Magic?","Attack, Firaga, Blizzaga, Thundaga"
"What is the Level 80 Magic known as on the SNES?","L.80 Magic"
"What is the weakness of the Level 80 Magic?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Sap, Sleep"
"Where is the Level 80 Magic located?","Cultists' Tower (4th Area; Top) [WoR]"
"What does the Level 80 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 80 Magic?","Hi-Ether (1/8)"
"What type of monster is the Level 80 Magic?","Humanoid"
"What is the special attack of the Level 80 Magic?","Hit (150% damage)"
"What status effects does the Level 80 Magic resist?","Imp, Silence, Berserk, Confusion, Slow, Stop"
"How much HP does the Level 80 Magic have?","8000"
"What sketch can be drawn from the Level 80 Magic?","Curaga (3/4), Reflect (1/4)"
"What abilities can be used while controlling the Level 80 Magic?","Attack, Reflect, Curaga, Esuna"
"What is the Level 90 Magic known as on the SNES?","L.90 Magic"
"What is the weakness of the Level 90 Magic?","Darkness, Zombie, Poison, MagiTek, Invisible, Image, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Level 90 Magic located?","Cultists' Tower (4th Area; Top; Inside [Except Air Anchor Room]) [WoR]"
"What does the Level 90 Magic drop?","Ether (1/8)"
"What can be stolen from the Level 90 Magic?","Hi-Ether (1/8)"
"What type of monster is the Level 90 Magic?","Humanoid"
"What is the special attack of the Level 90 Magic?","Hit (150% damage)"
"What status effects does the Level 90 Magic resist?","Imp, Petrify, Death, Doom, Critical, Silence, Sleep"
"What status effects does the Level 90 Magic absorb?","Wind"
"How much HP does the Level 90 Magic have?","9000"
"What sketch can be drawn from the Level 90 Magic?","Meltdown (3/4), Meteor (1/4)"
"What abilities can be used while controlling the Level 90 Magic?","Attack, Meteor, Meltdown, Tornado"
"What elements does the Level 90 Magic resist?","Holy, Earth, Water"
"What is the weakness of the Warlock?","Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image, Sap, Sleep, Slow, Stop"
"Where is the Warlock located?","Ebot's Rock (Everywhere EXCEPT in Rooms with Coral Chests) [WoR]"
"What does the Warlock drop?","Teleport Stone (1/8)"
"What can be stolen from the Warlock?","Teleport Stone (1/8)"
"What type of monster is the Warlock?","Humanoid"
"What is the special attack of the Warlock?","Magic Drain (steals MP)"
"What status effects does the Warlock resist?","Imp, Petrify, Death, Doom, Silence, Berserk, Confusion"
"How much HP does the Warlock have?","1300"
"What rage can be learned from the Warlock?","Holy"
"What sketch can be drawn from the Warlock?","Holy (3/4), Magic Drain (1/4)"
"What abilities can be used while controlling the Warlock?","Attack, Magic Drain, Holy"
"What is the Mahadeva known as on the SNES?","Displayer"
"What is the weakness of the Mahadeva?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
